scarlet,#FD0E35
sunset orange,#FE4C40
vivid tangerine,#FF9980
macaroni and cheese,#FFB978
mango tango,#E77200
banana mania,#FBE7B2
dandelion,#FED85D
canary,#FFFF99
inchworm,#AFE313
asparagus,#78A05B
granny smith apple,#9DE093
fern,#63B76C
shamrock,#33CC99
mountain meadow,#1AB385
jungle green,#29AB87
caribbean green,#00CC99
tropical rain forest,#00755E
robin's egg blue,#00CCCC
teal blue,#008080
outer space,#2D383A
pacific blue,#1CA9C9
cerulean,#02A4D3
denim,#1560BD
bluetiful,#3c69E7
wild blue yonder,#A2ADD0
indigo,#4B0082
manatee,#979AAA
blue bell,#A2A2D0
purple heart,#69359C
royal purple,#7851A9
wisteria,#C9A0DC
vivid violet,#9F00FF
purple mountains' majesty,#9678B6
fuchsia,#C154C1
pink flamingo,#FC74FD
jazzberry jam,#A50B5E
eggplant,#614051
cerise,#DE3163
wild strawberry,#FF43A4
cotton candy,#FFBCD9
razzmatazz,#E3256B
pig pink,#FDDDE6
blush,#DE5D83
tickle me pink,#FC89AC
mauvelous,#EF98AA
pink sherbert,#F78FA7
fuzzy wuzzy,#CC6666
beaver,#9F8170
tumbleweed,#DEAA88
desert sand,#EDC9AF
almond,#EFDECD
shadow,#8A795D
timberwolf,#D9D6CF
antique brass,#CD9575
